queryId,latency_ms
A15_Q001,88.519
A15_Q002,87.312
A15_Q003,88.577
A15_Q004,88.063
A15_Q005,136.248
A15_Q006,86.136
A15_Q007,88.484
A15_Q008,87.257
A15_Q009,87.795
A15_Q010,89.141
A15_Q011,90.787
A15_Q012,88.948
A15_Q013,158.351
A15_Q014,136.423
A15_Q015,135.023
A15_Q016,152.893
A15_Q017,157.036
A15_Q018,154.807
A15_Q019,139.695
A15_Q020,135.168
A15_Q021,132.507
A15_Q022,133.497
A15_Q023,132.118
A15_Q024,133.520
A15_Q025,80.781
A15_Q026,136.181
A15_Q027,137.556
A15_Q028,150.439
A15_Q029,132.440
A15_Q030,135.010
A15_Q031,134.406
A15_Q032,81.955
A15_Q033,134.095
A15_Q034,81.248
A15_Q035,81.519
A15_Q036,88.305
A15_Q037,87.931
A15_Q038,86.652
A15_Q039,136.180
A15_Q040,81.602
A15_Q041,165.309
A15_Q042,163.393
A15_Q043,163.942
A15_Q044,163.506
A15_Q045,163.832
A15_Q046,161.731
A15_Q047,169.904
A15_Q048,163.367
A15_Q049,260.495
A15_Q050,167.529
A15_Q051,163.583
A15_Q052,167.596
A15_Q053,202.797
A15_Q054,179.483
A15_Q055,180.620
A15_Q056,197.912
A15_Q057,184.756
A15_Q058,161.423
A15_Q059,157.926
A15_Q060,235.865
A15_Q061,254.065
A15_Q062,163.884
A15_Q063,179.159
A15_Q064,180.921
A15_Q065,163.920
A15_Q066,182.684
A15_Q067,179.877
A15_Q068,181.301
A15_Q069,186.022
A15_Q070,181.057
A15_Q071,190.423
A15_Q072,169.089
A15_Q073,182.915
A15_Q074,168.311
A15_Q075,181.299
A15_Q076,172.983
A15_Q077,175.946
A15_Q078,171.433
A15_Q079,187.250
A15_Q080,160.213
A15_Q081,162.328
A15_Q082,173.713
A15_Q083,166.025
A15_Q084,164.136
A15_Q085,162.190
A15_Q086,163.630
A15_Q087,165.496
A15_Q088,163.556
A15_Q089,166.137
A15_Q090,166.021
A15_Q091,158.957
A15_Q092,162.387
A15_Q093,198.813
A15_Q094,178.484
A15_Q095,178.512
A15_Q096,200.494
A15_Q097,174.672
A15_Q098,154.899
A15_Q099,178.173
A15_Q100,177.717
