queryId,latency_ms
A15_Q001,141.518
A15_Q002,108.155
A15_Q003,126.767
A15_Q004,143.147
A15_Q005,296.554
A15_Q006,94.140
A15_Q007,94.341
A15_Q008,128.441
A15_Q009,94.328
A15_Q010,90.793
A15_Q011,91.423
A15_Q012,91.579
A15_Q013,327.062
A15_Q014,293.233
A15_Q015,265.652
A15_Q016,322.767
A15_Q017,356.061
A15_Q018,454.927
A15_Q019,360.528
A15_Q020,488.958
A15_Q021,274.367
A15_Q022,269.774
A15_Q023,275.046
A15_Q024,353.620
A15_Q025,74.057
A15_Q026,281.788
A15_Q027,280.744
A15_Q028,273.083
A15_Q029,261.467
A15_Q030,310.843
A15_Q031,333.611
A15_Q032,84.207
A15_Q033,277.738
A15_Q034,68.664
A15_Q035,71.418
A15_Q036,94.356
A15_Q037,94.089
A15_Q038,90.472
A15_Q039,304.928
A15_Q040,71.575
A15_Q041,533.424
A15_Q042,461.792
A15_Q043,344.348
A15_Q044,353.608
A15_Q045,344.989
A15_Q046,418.435
A15_Q047,401.719
A15_Q048,338.404
A15_Q049,345.166
A15_Q050,342.423
A15_Q051,334.412
A15_Q052,357.130
A15_Q053,563.347
A15_Q054,531.786
A15_Q055,474.515
A15_Q056,439.129
A15_Q057,442.582
A15_Q058,360.818
A15_Q059,341.309
A15_Q060,383.204
A15_Q061,406.093
A15_Q062,404.440
A15_Q063,427.697
A15_Q064,388.200
A15_Q065,368.787
A15_Q066,508.035
A15_Q067,382.916
A15_Q068,383.675
A15_Q069,398.695
A15_Q070,400.314
A15_Q071,467.368
A15_Q072,374.349
A15_Q073,382.062
A15_Q074,330.964
A15_Q075,346.277
A15_Q076,340.842
A15_Q077,613.879
A15_Q078,508.329
A15_Q079,437.794
A15_Q080,362.570
A15_Q081,354.889
A15_Q082,383.256
A15_Q083,388.094
A15_Q084,340.711
A15_Q085,350.152
A15_Q086,345.658
A15_Q087,442.423
A15_Q088,407.073
A15_Q089,526.891
A15_Q090,572.949
A15_Q091,495.547
A15_Q092,493.667
A15_Q093,532.548
A15_Q094,508.419
A15_Q095,481.895
A15_Q096,550.039
A15_Q097,385.414
A15_Q098,323.123
A15_Q099,348.512
A15_Q100,503.761
